Date,Total_Tests,Total_Cases
2020-03-30,25,19
2020-03-31,75,25
2020-04-01,59,31
2020-04-02,92,27
2020-04-03,67,34
2020-04-04,29,13
2020-04-06,69,38
2020-04-07,78,99
2020-04-08,88,20
2020-04-09,112,48
2020-04-10,73,33
2020-04-11,34,18
2020-04-12,0,7
2020-04-13,53,34
2020-04-14,78,50
2020-04-15,116,29
2020-04-16,139,39
2020-04-17,173,60
2020-04-18,92,28
2020-04-20,185,9
2020-04-21,188,62
2020-04-22,196,19
2020-04-23,178,16
2020-04-24,194,14
2020-04-25,92,33
2020-04-27,257,16
2020-04-28,214,45
2020-04-29,217,34
2020-04-30,262,27
2020-05-01,329,54
2020-05-02,172,50
2020-05-04,276,58
2020-05-05,272,42
2020-05-06,331,45
2020-05-07,314,25
2020-05-08,400,13
2020-05-09,271,14
2020-05-11,360,19
2020-05-12,351,48
2020-05-13,360,19
2020-05-14,397,39
2020-05-15,381,48
2020-05-16,0,1
2020-05-17,0,0
2020-05-18,578,22
2020-05-19,546,40
2020-05-20,554,31
2020-05-21,448,9
2020-05-22,438,15
2020-05-23,264,9
2020-05-26,511,34
2020-05-27,442,17
2020-05-28,368,49
2020-05-29,406,29
2020-05-30,277,0
2020-06-01,474,35
2020-06-02,471,35
2020-06-03,394,81
2020-06-04,427,85
2020-06-05,474,0
2020-06-06,323,0
2020-06-08,530,87
2020-06-09,396,74
2020-06-10,549,21
2020-06-11,527,38
2020-06-12,535,27
2020-06-13,265,0
2020-06-14,69,17
2020-06-15,541,94
2020-06-16,558,171
2020-06-17,674,59
2020-06-18,625,156
2020-06-19,634,69
2020-06-20,552,118
2020-06-21,113,63
2020-06-22,318,44
2020-06-23,921,91
2020-06-24,841,130
2020-06-25,599,248
2020-06-26,905,71
2020-06-27,634,0
2020-06-28,225,6
